Run #, Dr, G0, hpo, nCycles.CovMultiplier, nCycles_1, nCycles_2, nCycles_3, nCycles_4, nCycles_5, nCycles_6
1, 0.62897, 630.813, 0.0594615, 2.42566, 22.25, 22.25, 11.25, 7.25, 5.25, 4.25
2, 0.583762, 741.484, 0.108132, 0.729951, 21.5, 21.5, 10.5, 6.5, 5.25, 4.25
3, 0.601402, 779.02, 0.0788223, 1.35751, 20.5, 20.5, 10.5, 7.5, 5.25, 4.25
4, 0.608299, 651.358, 0.0712242, 1.58235, 20.5, 20.5, 10.25, 6.5, 5.25, 3.5
5, 0.596132, 712.489, 0.10143, 0.841965, 22.25, 22.25, 11.25, 6.5, 5.25, 3.5
6, 0.65494, 705.045, 0.0381062, 1.36584, 21.5, 21.5, 11.25, 7.5, 6.25, 4.5
7, 0.643909, 740.852, 0.050685, 1.39035, 24.25, 24.25, 12.25, 8.25, 6.25, 4.5
8, 0.605749, 787.708, 0.081135, 0.774469, 22.5, 22.5, 11.5, 7.5, 6.25, 4.25
9, 0.590499, 729.597, 0.0992578, 1.20722, 22.25, 22.25, 10.5, 7.5, 5.25, 4.25
10, 0.648581, 882.695, 0.0427432, 1.91609, 24.5, 24.5, 13.5, 9.5, 7.25, 5.5
11, 0.640491, 862.163, 0.0493222, 1.53209, 21.25, 21.25, 11.5, 8.25, 6.5, 5.25
12, 0.587082, 814.777, 0.0920614, 1.26421, 21.25, 21.25, 11.25, 7.25, 5.5, 4.25
13, 0.63114, 779.221, 0.0622626, 0.909903, 24.5, 24.5, 12.5, 8.25, 6.25, 5.25
14, 0.629821, 740.821, 0.0567335, 0.737877, 22.5, 22.5, 11.5, 7.5, 6.25, 4.25
15, 0.641294, 640.573, 0.0413012, 1.42312, 19.25, 19.25, 9.5, 7.25, 5.25, 4.25
16, 0.630698, 815.67, 0.0628206, 2.18181, 23.25, 23.25, 12.25, 8.5, 6.5, 5.25
17, 0.671319, 773.157, 0.031075, 1.45584, 23.25, 23.25, 12.5, 8.5, 7.25, 5.25
18, 0.596097, 846.988, 0.0878848, 0.936546, 22.25, 22.25, 11.5, 8.25, 6.25, 5.25
19, 0.627838, 710.572, 0.0621839, 2.40392, 25.25, 25.25, 12.5, 8.25, 5.5, 4.5
20, 0.593363, 758.627, 0.0993339, 1.00849, 22.25, 22.25, 11.25, 7.5, 5.25, 4.25
